id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:6000522	Reduced circulating lipoprotein(a) concentration	انخفاض تركيز البروتين الدهني(a) في الدم	نقص البروتين الدهني في الدم	تركيز البروتين الدهني(a) في الدورة الدموية أقل من الحد الأدنى الطبيعي. يُعرف البروتين الدهني(a) أيضاً باسم الأبوليبوبروتين(A)، ويُشفَّر عن طريق LPA (HGNC: 6667).
HP:0009545	Symphalangism of the 2nd finger	انصهار السلاميات للإصبع الثاني	انصهار عظام الإصبع الثاني	انصهار العظام في الإصبع الثاني، حيث تصبح عظام السّلاميات ملتحمة بشكل غير طبيعي.
HP:0009546	Triangular shaped phalanges of the 2nd finger	السلاميات المثلثة الشكل للإصبع الثاني	عظام الإصبع الثاني المثلثة	السلاميات المثلثة الشكل للإصبع الثاني. السلامى المثلثة أو ما يُعرف بشكل دلتا هي نتيجة نموذجية بعد وجود صفيحة سليمة في السلامى المتأثرة.
HP:0009547	Broad phalanges of the 2nd finger	السلاميات العريضة للإصبع الثاني	عظام الإصبع الثاني العريضة	وجود سلاميات عريضة غير طبيعية للإصبع الثاني، مما يؤثر على الشكل العام للعظام.
HP:0009548	Bullet-shaped phalanges of the 2nd finger	السلاميات الرصاصية الشكل للإصبع الثاني	عظام الإصبع الثاني الرصاصية الشكل	إصبع ثانية مع سلامى قصيرة وعريضة تضيق ناحية الطرف. السلاميات الرصاصية الشكل تفتقر إلى الضيق الطبيعي في الديافيس.
HP:0009549	Curved phalanges of the 2nd finger	السلاميات المنحنية للإصبع الثاني	عظام الإصبع الثاني المنحنية	وجود سلاميات منحنية غير طبيعية في الإصبع الثاني، مما يؤثر على استقامة العظام.
HP:0009550	Osteolytic defects of the phalanges of the 2nd finger	عيوب انحلال العظام في السلاميات للإصبع الثاني	عيوب انحلال العظام في الإصبع	وجود عيوب انحلالية في السلاميات للإصبع الثاني تؤثر على سلامة العظمة.
HP:0009551	Patchy sclerosis of 2nd finger phalanx	تصلب بقعي في السلاميات للإصبع الثاني	زيادة غير متساوية في كثافة العظم بالإصبع الثاني	زيادة غير متساوية (غير منتظمة) في كثافة العظام لإحدى أو أكثر من سلاميات الإصبع الثاني.
HP:6000525	Reduced erythrocyte glutathione reductase activity	نشاط اختزال الجلوتاثيون في كريات الدم الحمراء منخفض	نشاط اختزال الجلوتاثيون منخفض في كريات الدم الحمراء	نشاط إنزيم اختزال الجلوتاثيون (EC 1.6.4.2) في كريات الدم الحمراء يكون أقل من الحد الأدنى الطبيعي.
HP:6000526	Failure to elevate lactate upon ischemic exercise test	فشل في ارتفاع اللاكتات في اختبار التمرين الإسقيمي	عدم ارتفاع اللاكتات في تمرين الإسقيمي	فشل في ارتفاع مستوى اللاكتات في الدم المستخلص من العضلات المجهدة الإسقيميًا حسب اختبارات تمرين الساعد الإسقيمي.
HP:6000527	Elevated circulating cholestanol concentration	ارتفاع تركيز الكوليستانول في الدورة الدموية	كوليستانول الدم مرتفع	تركيز الكوليستانول في الدورة الدموية يكون فوق الحد الأعلى الطبيعي. الكوليستانول هو مشتق 5-ألفا-ديهيدرو من الكوليسترول.
HP:6000528	Livestock exposure	التعرض للثروة الحيوانية	التعرض للحيوانات في المزرعة	وجود سجل طبي يدل على التعرض للثروة الحيوانية (حيوانات مثل الأبقار والأغنام التي تُحفظ في المزرعة).
HP:6000529	Synchronous skin lesions	آفات جلدية متزامنة	ظهور آفات جلدية متعددة في نفس الوقت	يشير إلى اضطراب جلدي حيث تظهر آفات متعددة في نفس الوقت.
HP:6000530	Serpentine skin location	موقع جلدي متعرج	جلد يشبه الثعبان	يشير إلى آفة جلدية ذات شكل يشبه الثعبان (التعرجات).
HP:6000532	Elevated urinary histamine level	مستوى الهستامين البولي مرتفع	الهستامين مرتفع في البول	كمية الهستامين في البول، محسوبة بالنسبة لتركيز البول، تكون فوق الحد الأعلى الطبيعي.
HP:6000533	Elevated urinary N-methylhistamine level	مستوى N-ميثيل الهستامين البولي مرتفع	N-ميثيل الهستامين مرتفع في البول	كمية N-ميثيل الهستامين في البول، محسوبة بالنسبة لتركيز البول، تكون فوق الحد الأعلى الطبيعي.
HP:0009554	Preauricular hair displacement	ازاحة شعر قبل الأذن	نمو الشعر على الخد	امتداد يشبه اللسان للشعر نحو الخدين، حيث يمتد نمو الشعر أمام الأذن إلى عظام الخد الجانبية.
HP:0009556	Absent tibia	غياب عظم الساق (الظنبوب)	غياب عظم الساق	غياب الظنبوب.
HP:0009558	Broad distal phalanx of the 2nd finger	عرض السلامية البعيدة للإصبع الثاني	عظمة واسعة لنهاية الإصبع السبابة	زيادة في عرض السلامية البعيدة للإصبع الثاني.
HP:0009559	Bullet-shaped distal phalanx of the 2nd finger	السلامية البعيدة للإصبع الثاني بشكل الرصاصة	عظمة نهاية الإصبع السبابة بشكل الرصاصة	تشير السلامية بشكل الرصاصة إلى السلامية القصيرة والعريضة التي تضيق نحو النهاية. السلاميات بشكل رصاصة تفتقر إلى التقلص الطبيعي للقطعة الدياغنال. يستخدم هذا المصطلح عندما تتأثر السلامية البعيدة للإصبع الثاني.
HP:0009560	Curved distal phalanx of the 2nd finger	السلامية البعيدة للإصبع الثاني المنحنية	عظمة نهاية الإصبع السبابة المنحنية	المظهر المنحني للسلامية البعيدة للإصبع الثاني.
HP:0009561	Osteolytic defects of the distal phalanx of the 2nd finger	عيوب انحلال العظم في السلامية البعيدة للإصبع الثاني	انحلال عظم الإصبع السبابة	انحلال أو تدهور نسيج العظم في السلامية البعيدة للإصبع الثاني.
HP:0009562	Patchy sclerosis of the distal phalanx of the 2nd finger	تصلب متقطع في السلامية البعيدة للإصبع الثاني	زيادة غير منتظمة في كثافة العظم لنهاية الإصبع السبابة	زيادة غير منتظمة (غير متساوية) في كثافة العظم للسلامية البعيدة للإصبع الثاني.
HP:6000544	Positive mycobacterium CSF microscopy	الفحص المجهري للسائل الشوكي للكشف عن المتفطرات	تحليل السائل الشوكي للكشف عن المتفطرات	إظهار المتفطرات عن طريق الفحص المجهري للسائل النخاعي.
